experiment_id,date,hypothesis,motivation,baseline,code_changes,parameters,symbol,strategy,training_period,validation_period,test_period,backtest_command,result,PnL,trade_count,win_rate,profit_factor,drawdown,interpretation,decision,next_action
EXP_0011,2026-09-06,Evaluating TP=2/SL=12 ticks to measure empirical absorption probability vs random walk boundary (85.7%).,Investigate TP/SL geometry and optimal stop distance for STOCH_RSI.,EXP_0001,None (TP/SL parameter variation),"strat=STOCH_RSI,tp=2,sl_mode=TICKS,sl_ticks=12",TRUMP_USDT,STOCH_RSI,2026-07-01 to 2026-07-24,2026-07-25 to 2026-08-15,2026-08-16 to 2026-08-31,python BACKTESTER/run_backtest.py --symbol TRUMP_USDT --strategy STOCH_RSI --start 2026-07-01 --end 2026-07-24 --tp-ticks 2 --sl-mode TICKS --sl-ticks 12,PROMISING,0.1752,2422,85.4666,1.2684,13.3949,"Trades: 2422, WR: 85.47% (RW: 85.7%, Delta: -0.25%), PF: 1.27, PnL: +0.1752 USDT, DD: 13.39%",PROMISING,Analyze delta_p peak and expected payoff curve
EXP_0012,2026-09-06,Evaluating TP=2/SL=15 ticks to measure empirical absorption probability vs random walk boundary (88.2%).,Investigate TP/SL geometry and optimal stop distance for STOCH_RSI.,EXP_0001,None (TP/SL parameter variation),"strat=STOCH_RSI,tp=2,sl_mode=TICKS,sl_ticks=15",TRUMP_USDT,STOCH_RSI,2026-07-01 to 2026-07-24,2026-07-25 to 2026-08-15,2026-08-16 to 2026-08-31,python BACKTESTER/run_backtest.py --symbol TRUMP_USDT --strategy STOCH_RSI --start 2026-07-01 --end 2026-07-24 --tp-ticks 2 --sl-mode TICKS --sl-ticks 15,PROMISING,0.1800,2424,85.4785,1.2774,13.3949,"Trades: 2424, WR: 85.48% (RW: 88.2%, Delta: -2.76%), PF: 1.28, PnL: +0.1800 USDT, DD: 13.39%",PROMISING,Analyze delta_p peak and expected payoff curve
EXP_0013,2026-09-06,Moving stop to breakeven after touching +1 tick excursion will protect the 188 near-TP losing trades.,Counterfactual test of breakeven stop rule to avoid near-TP reversals.,EXP_0001,None (Counterfactual Replay),"strat=STOCH_RSI,tp=2,sl=ROE:25,rule=BE_ON_PLUS_1",TRUMP_USDT,STOCH_RSI,2026-07-01 to 2026-07-24,2026-07-25 to 2026-08-15,2026-08-16 to 2026-08-31,python research/tools/counterfactual_analysis.py,REJECTED,0.0118,3066,44.8800,1.0200,16.5000,Avoided 188 losses (+0.1986 USDT) but prematurely killed 997 winners (-0.3988 USDT). Net impact: -0.2002 USDT.,REJECTED,Abandon breakeven trailing stop on +1 tick
EXP_0014,2026-09-06,Closing trades at market after 60 seconds (duration filter) cuts time-decay drift and saves losses.,Test the widely cited duration time-decay hypothesis via exact counterfactual tick replay.,EXP_0001,None (Counterfactual Replay),"strat=STOCH_RSI,tp=2,sl=ROE:25,rule=TIMEOUT_60S",TRUMP_USDT,STOCH_RSI,2026-07-01 to 2026-07-24,2026-07-25 to 2026-08-15,2026-08-16 to 2026-08-31,python research/tools/counterfactual_analysis.py,REJECTED,0.0600,3066,29.4800,1.0500,22.1000,Survivorship bias debunked: Saved +0.5312 USDT on 625 losses but killed 1469 winning trades (-0.6832 USDT). Net impact: -0.1520 USDT.,REJECTED,Do not use hard 60s duration exits
EXP_0015,2026-09-06,Closing trades at market after 90 seconds (duration filter) balances drift avoidance with trade resolution.,Test 90s timeout duration filter counterfactually.,EXP_0001,None (Counterfactual Replay),"strat=STOCH_RSI,tp=2,sl=ROE:25,rule=TIMEOUT_90S",TRUMP_USDT,STOCH_RSI,2026-07-01 to 2026-07-24,2026-07-25 to 2026-08-15,2026-08-16 to 2026-08-31,python research/tools/counterfactual_analysis.py,REJECTED,0.1054,3066,37.8700,1.1000,18.4000,Saved +0.4768 USDT on 586 losses but killed 1212 winning trades (-0.5834 USDT). Net impact: -0.1066 USDT.,REJECTED,Do not use hard 90s duration exits
EXP_0016,2026-09-06,Restricting micro-scalps to align with the 15m 200-EMA macro trend will eliminate counter-trend knife-catching losses.,Test the Higher Timeframe (HTF) trend filter hypothesis.,EXP_0001,Active filters: HTF_200_EMA,"strat=STOCH_RSI,filter=HTF_200_EMA",TRUMP_USDT,STOCH_RSI,2026-07-01 to 2026-07-24,2026-07-25 to 2026-08-15,2026-08-16 to 2026-08-31,python BACKTESTER/run_backtest.py --symbol TRUMP_USDT --strategy STOCH_RSI --start 2026-07-01 --end 2026-07-24,REJECTED,0.0600,1750,74.9714,1.1291,15.1862,"Trades: 1750 (vs 3066), WR: 74.97% (vs 77.40%), PF: 1.13 (vs 1.29), PnL: +0.0600 (vs +0.2120), DD: 15.19%",REJECTED,Evaluate counterfactual trade retention vs loss avoidance
EXP_0017,2026-09-06,Filtering out low-ADX market conditions (ADX < 25) will suppress choppy sideways whipsaws.,Test ADX trend strength chop filter hypothesis.,EXP_0001,Active filters: ADX_CHOP_FILTER,"strat=STOCH_RSI,filter=ADX_CHOP_FILTER",TRUMP_USDT,STOCH_RSI,2026-07-01 to 2026-07-24,2026-07-25 to 2026-08-15,2026-08-16 to 2026-08-31,python BACKTESTER/run_backtest.py --symbol TRUMP_USDT --strategy STOCH_RSI --start 2026-07-01 --end 2026-07-24,REJECTED,0.1254,1621,77.7915,1.3309,8.2418,"Trades: 1621 (vs 3066), WR: 77.79% (vs 77.40%), PF: 1.33 (vs 1.29), PnL: +0.1254 (vs +0.2120), DD: 8.24%",REJECTED,Evaluate counterfactual trade retention vs loss avoidance
EXP_0018,2026-09-06,"Blacklisting low-liquidity UTC hours (02:00, 03:00, 04:00, 05:00, 17:00) avoids choppy sessions.",Test hourly session blacklist hypothesis.,EXP_0001,Active filters: HOURLY_DEAD_ZONE,"strat=STOCH_RSI,filter=HOURLY_DEAD_ZONE",TRUMP_USDT,STOCH_RSI,2026-07-01 to 2026-07-24,2026-07-25 to 2026-08-15,2026-08-16 to 2026-08-31,python BACKTESTER/run_backtest.py --symbol TRUMP_USDT --strategy STOCH_RSI --start 2026-07-01 --end 2026-07-24,INCONCLUSIVE,0.1702,2408,77.5332,1.2952,16.8367,"Trades: 2408 (vs 3066), WR: 77.53% (vs 77.40%), PF: 1.30 (vs 1.29), PnL: +0.1702 (vs +0.2120), DD: 16.84%",INCONCLUSIVE,Evaluate counterfactual trade retention vs loss avoidance
EXP_0019,2026-09-06,Evaluating LONG_ONLY trade signals to isolate direction-specific edge.,Test directional bias hypothesis (LONG_ONLY).,EXP_0001,Active filters: DIRECTION_LONG_ONLY,"strat=STOCH_RSI,filter=DIRECTION_LONG_ONLY",TRUMP_USDT,STOCH_RSI,2026-07-01 to 2026-07-24,2026-07-25 to 2026-08-15,2026-08-16 to 2026-08-31,python BACKTESTER/run_backtest.py --symbol TRUMP_USDT --strategy STOCH_RSI --start 2026-07-01 --end 2026-07-24,REJECTED,0.0794,1759,75.6680,1.1753,15.6168,"Trades: 1759 (vs 3066), WR: 75.67% (vs 77.40%), PF: 1.18 (vs 1.29), PnL: +0.0794 (vs +0.2120), DD: 15.62%",REJECTED,Evaluate counterfactual trade retention vs loss avoidance
EXP_0020,2026-09-06,Evaluating SHORT_ONLY trade signals to test whether shorts outperform longs.,Test directional bias hypothesis (SHORT_ONLY).,EXP_0001,Active filters: DIRECTION_SHORT_ONLY,"strat=STOCH_RSI,filter=DIRECTION_SHORT_ONLY",TRUMP_USDT,STOCH_RSI,2026-07-01 to 2026-07-24,2026-07-25 to 2026-08-15,2026-08-16 to 2026-08-31,python BACKTESTER/run_backtest.py --symbol TRUMP_USDT --strategy STOCH_RSI --start 2026-07-01 --end 2026-07-24,REJECTED,0.1396,1754,78.0502,1.3422,14.7368,"Trades: 1754 (vs 3066), WR: 78.05% (vs 77.40%), PF: 1.34 (vs 1.29), PnL: +0.1396 (vs +0.2120), DD: 14.74%",REJECTED,Evaluate counterfactual trade retention vs loss avoidance
EXP_0021,2026-09-06,Combining HTF 200 EMA + ADX chop filter + Hourly blacklist eliminates the majority of losses.,Test composite multi-filter pipeline hypothesis.,EXP_0001,Active filters: ALL_FILTERS_COMBINED,"strat=STOCH_RSI,filter=ALL_FILTERS_COMBINED",TRUMP_USDT,STOCH_RSI,2026-07-01 to 2026-07-24,2026-07-25 to 2026-08-15,2026-08-16 to 2026-08-31,python BACKTESTER/run_backtest.py --symbol TRUMP_USDT --strategy STOCH_RSI --start 2026-07-01 --end 2026-07-24,REJECTED,0.0396,692,76.4451,1.2302,7.8947,"Trades: 692 (vs 3066), WR: 76.45% (vs 77.40%), PF: 1.23 (vs 1.29), PnL: +0.0396 (vs +0.2120), DD: 7.89%",REJECTED,Evaluate counterfactual trade retention vs loss avoidance
EXP_0022,2026-09-06,"MICRO_BURST preset requires more extreme oscillator divergence (15/85), filtering out marginal chop entries.","Test MICRO_BURST (7, 7, 3, 3) with extreme zones 15/85 and SL=5t",EXP_0001,"Preset: MICRO_BURST, SL: 5t","strat=STOCH_RSI,preset=MICRO_BURST,tp=2,sl_mode=TICKS,sl_ticks=5",TRUMP_USDT,STOCH_RSI,2026-07-01 to 2026-07-24,2026-07-25 to 2026-08-15,2026-08-16 to 2026-08-31,python BACKTESTER/run_backtest.py --symbol TRUMP_USDT --strategy STOCH_RSI --stoch-preset MICRO_BURST --start 2026-07-01 --end 2026-07-24 --tp-ticks 2 --sl-mode TICKS --sl-ticks 5,INCONCLUSIVE,0.1928,2995,76.0267,1.2685,11.6580,"Trades: 2995, WR: 76.03%, PF: 1.27, PnL: +0.1928, DD: 11.66%",INCONCLUSIVE,Compare preset performance and consistency
EXP_0023,2026-09-06,"STANDARD preset smooths out 1m noise over longer 14-period window, improving signal quality.","Test STANDARD (14, 14, 3, 3) with zones 20/80 and SL=5t",EXP_0001,"Preset: STANDARD, SL: 5t","strat=STOCH_RSI,preset=STANDARD,tp=2,sl_mode=TICKS,sl_ticks=5",TRUMP_USDT,STOCH_RSI,2026-07-01 to 2026-07-24,2026-07-25 to 2026-08-15,2026-08-16 to 2026-08-31,python BACKTESTER/run_backtest.py --symbol TRUMP_USDT --strategy STOCH_RSI --stoch-preset STANDARD --start 2026-07-01 --end 2026-07-24 --tp-ticks 2 --sl-mode TICKS --sl-ticks 5,INCONCLUSIVE,0.1496,2866,75.1570,1.2101,15.4270,"Trades: 2866, WR: 75.16%, PF: 1.21, PnL: +0.1496, DD: 15.43%",INCONCLUSIVE,Compare preset performance and consistency
EXP_0024,2026-09-06,FAST_SCALP with SL=5t captures peak Delta P (+4.68%) and lowest drawdown.,"Test FAST_SCALP (9, 9, 3, 3) with SL=5t (EXP_0007 reference)",EXP_0001,"Preset: FAST_SCALP, SL: 5t","strat=STOCH_RSI,preset=FAST_SCALP,tp=2,sl_mode=TICKS,sl_ticks=5",TRUMP_USDT,STOCH_RSI,2026-07-01 to 2026-07-24,2026-07-25 to 2026-08-15,2026-08-16 to 2026-08-31,python BACKTESTER/run_backtest.py --symbol TRUMP_USDT --strategy STOCH_RSI --stoch-preset FAST_SCALP --start 2026-07-01 --end 2026-07-24 --tp-ticks 2 --sl-mode TICKS --sl-ticks 5,PROMISING,0.2040,3114,76.1079,1.2742,8.3990,"Trades: 3114, WR: 76.11%, PF: 1.27, PnL: +0.2040, DD: 8.40%",PROMISING,Compare preset performance and consistency
EXP_0025,2026-09-06,MICRO_BURST with tight SL=4t maximizes risk-reward payoff.,Test MICRO_BURST with tighter SL=4t,EXP_0001,"Preset: MICRO_BURST, SL: 4t","strat=STOCH_RSI,preset=MICRO_BURST,tp=2,sl_mode=TICKS,sl_ticks=4",TRUMP_USDT,STOCH_RSI,2026-07-01 to 2026-07-24,2026-07-25 to 2026-08-15,2026-08-16 to 2026-08-31,python BACKTESTER/run_backtest.py --symbol TRUMP_USDT --strategy STOCH_RSI --stoch-preset MICRO_BURST --start 2026-07-01 --end 2026-07-24 --tp-ticks 2 --sl-mode TICKS --sl-ticks 4,INCONCLUSIVE,0.1500,3213,70.5571,1.1982,14.2857,"Trades: 3213, WR: 70.56%, PF: 1.20, PnL: +0.1500, DD: 14.29%",INCONCLUSIVE,Compare preset performance and consistency
EXP_0026,2026-09-06,FAST_SCALP with SL=4t tests payoff ratio vs win rate.,Test FAST_SCALP with tight SL=4t,EXP_0001,"Preset: FAST_SCALP, SL: 4t","strat=STOCH_RSI,preset=FAST_SCALP,tp=2,sl_mode=TICKS,sl_ticks=4",TRUMP_USDT,STOCH_RSI,2026-07-01 to 2026-07-24,2026-07-25 to 2026-08-15,2026-08-16 to 2026-08-31,python BACKTESTER/run_backtest.py --symbol TRUMP_USDT --strategy STOCH_RSI --stoch-preset FAST_SCALP --start 2026-07-01 --end 2026-07-24 --tp-ticks 2 --sl-mode TICKS --sl-ticks 4,INCONCLUSIVE,0.1576,3352,70.5847,1.1998,8.0808,"Trades: 3352, WR: 70.58%, PF: 1.20, PnL: +0.1576, DD: 8.08%",INCONCLUSIVE,Compare preset performance and consistency
EXP_0027,2026-09-06,Evaluating TP=3 / SL=3 ticks to test whether larger profit targets yield higher economic payoff.,Explore alternative TP distances (3 ticks) and risk-reward geometry.,EXP_0001,"TP=3, SL=3 ticks","strat=STOCH_RSI,tp=3,sl_mode=TICKS,sl_ticks=3",TRUMP_USDT,STOCH_RSI,2026-07-01 to 2026-07-24,2026-07-25 to 2026-08-15,2026-08-16 to 2026-08-31,python BACKTESTER/run_backtest.py --symbol TRUMP_USDT --strategy STOCH_RSI --start 2026-07-01 --end 2026-07-24 --tp-ticks 3 --sl-mode TICKS --sl-ticks 3,INCONCLUSIVE,0.0648,3216,51.6791,1.0695,15.7459,"Trades: 3216, WR: 51.68% (RW: 50.0%, Delta: +1.68%), PF: 1.07, PnL: +0.0648 USDT, DD: 15.75%",INCONCLUSIVE,Compare against TP=2 tick baseline
EXP_0028,2026-09-06,Evaluating TP=3 / SL=5 ticks to test whether larger profit targets yield higher economic payoff.,Explore alternative TP distances (3 ticks) and risk-reward geometry.,EXP_0001,"TP=3, SL=5 ticks","strat=STOCH_RSI,tp=3,sl_mode=TICKS,sl_ticks=5",TRUMP_USDT,STOCH_RSI,2026-07-01 to 2026-07-24,2026-07-25 to 2026-08-15,2026-08-16 to 2026-08-31,python BACKTESTER/run_backtest.py --symbol TRUMP_USDT --strategy STOCH_RSI --start 2026-07-01 --end 2026-07-24 --tp-ticks 3 --sl-mode TICKS --sl-ticks 5,INCONCLUSIVE,0.1442,2555,66.0274,1.1661,22.0963,"Trades: 2555, WR: 66.03% (RW: 62.5%, Delta: +3.53%), PF: 1.17, PnL: +0.1442 USDT, DD: 22.10%",INCONCLUSIVE,Compare against TP=2 tick baseline
EXP_0029,2026-09-06,Evaluating TP=3 / SL=6 ticks to test whether larger profit targets yield higher economic payoff.,Explore alternative TP distances (3 ticks) and risk-reward geometry.,EXP_0001,"TP=3, SL=6 ticks","strat=STOCH_RSI,tp=3,sl_mode=TICKS,sl_ticks=6",TRUMP_USDT,STOCH_RSI,2026-07-01 to 2026-07-24,2026-07-25 to 2026-08-15,2026-08-16 to 2026-08-31,python BACKTESTER/run_backtest.py --symbol TRUMP_USDT --strategy STOCH_RSI --start 2026-07-01 --end 2026-07-24 --tp-ticks 3 --sl-mode TICKS --sl-ticks 6,INCONCLUSIVE,0.1224,2370,69.5359,1.1413,33.9943,"Trades: 2370, WR: 69.54% (RW: 66.7%, Delta: +2.87%), PF: 1.14, PnL: +0.1224 USDT, DD: 33.99%",INCONCLUSIVE,Compare against TP=2 tick baseline
EXP_0030,2026-09-06,Evaluating TP=3 / SL=8 ticks to test whether larger profit targets yield higher economic payoff.,Explore alternative TP distances (3 ticks) and risk-reward geometry.,EXP_0001,"TP=3, SL=8 ticks","strat=STOCH_RSI,tp=3,sl_mode=TICKS,sl_ticks=8",TRUMP_USDT,STOCH_RSI,2026-07-01 to 2026-07-24,2026-07-25 to 2026-08-15,2026-08-16 to 2026-08-31,python BACKTESTER/run_backtest.py --symbol TRUMP_USDT --strategy STOCH_RSI --start 2026-07-01 --end 2026-07-24 --tp-ticks 3 --sl-mode TICKS --sl-ticks 8,INCONCLUSIVE,0.1362,2031,75.7755,1.1730,26.4045,"Trades: 2031, WR: 75.78% (RW: 72.7%, Delta: +3.05%), PF: 1.17, PnL: +0.1362 USDT, DD: 26.40%",INCONCLUSIVE,Compare against TP=2 tick baseline
EXP_0031,2026-09-06,Evaluating TP=4 / SL=4 ticks to test whether larger profit targets yield higher economic payoff.,Explore alternative TP distances (4 ticks) and risk-reward geometry.,EXP_0001,"TP=4, SL=4 ticks","strat=STOCH_RSI,tp=4,sl_mode=TICKS,sl_ticks=4",TRUMP_USDT,STOCH_RSI,2026-07-01 to 2026-07-24,2026-07-25 to 2026-08-15,2026-08-16 to 2026-08-31,python BACKTESTER/run_backtest.py --symbol TRUMP_USDT --strategy STOCH_RSI --start 2026-07-01 --end 2026-07-24 --tp-ticks 4 --sl-mode TICKS --sl-ticks 4,REJECTED,0.0384,2430,50.9877,1.0403,38.3954,"Trades: 2430, WR: 50.99% (RW: 50.0%, Delta: +0.99%), PF: 1.04, PnL: +0.0384 USDT, DD: 38.40%",REJECTED,Compare against TP=2 tick baseline
EXP_0032,2026-09-06,Evaluating TP=4 / SL=6 ticks to test whether larger profit targets yield higher economic payoff.,Explore alternative TP distances (4 ticks) and risk-reward geometry.,EXP_0001,"TP=4, SL=6 ticks","strat=STOCH_RSI,tp=4,sl_mode=TICKS,sl_ticks=6",TRUMP_USDT,STOCH_RSI,2026-07-01 to 2026-07-24,2026-07-25 to 2026-08-15,2026-08-16 to 2026-08-31,python BACKTESTER/run_backtest.py --symbol TRUMP_USDT --strategy STOCH_RSI --start 2026-07-01 --end 2026-07-24 --tp-ticks 4 --sl-mode TICKS --sl-ticks 6,REJECTED,-0.0144,1987,59.6376,0.9850,82.4176,"Trades: 1987, WR: 59.64% (RW: 60.0%, Delta: -0.36%), PF: 0.99, PnL: -0.0144 USDT, DD: 82.42%",REJECTED,Compare against TP=2 tick baseline
EXP_0033,2026-09-06,Evaluating TP=4 / SL=8 ticks to test whether larger profit targets yield higher economic payoff.,Explore alternative TP distances (4 ticks) and risk-reward geometry.,EXP_0001,"TP=4, SL=8 ticks","strat=STOCH_RSI,tp=4,sl_mode=TICKS,sl_ticks=8",TRUMP_USDT,STOCH_RSI,2026-07-01 to 2026-07-24,2026-07-25 to 2026-08-15,2026-08-16 to 2026-08-31,python BACKTESTER/run_backtest.py --symbol TRUMP_USDT --strategy STOCH_RSI --start 2026-07-01 --end 2026-07-24 --tp-ticks 4 --sl-mode TICKS --sl-ticks 8,INCONCLUSIVE,0.0512,1639,67.9683,1.0610,48.2940,"Trades: 1639, WR: 67.97% (RW: 66.7%, Delta: +1.30%), PF: 1.06, PnL: +0.0512 USDT, DD: 48.29%",INCONCLUSIVE,Compare against TP=2 tick baseline
